Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
248,"I am not primarily a developer, but I write code sometimes as part of my work",No,,30,,,Costa Rica,United States dollar,USD,MariaDB;MongoDB,MariaDB,Data or business analyst,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,,Man,Flex time or a flexible schedule;Specific department or team I’d be working on;Remote work options,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;Python;SQL;Swift,Bash/Shell/PowerShell;Python;SQL,Pandas;TensorFlow,Pandas,,,Not sure,,Fairly important,Better compensation;Better work/life balance;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,Not sure,No,Yes,Often: 1-2 days per week or more,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Watch help / tutorial videos,Windows,"10,000 or more employees",Docker;iOS;Kubernetes;Linux;MacOS;Windows,Linux;MacOS;Windows,I have little or no influence,Straight / Heterosexual,Yes,"No, not at all",I have never participated in Q&A on Stack Overflow,A few times per week,Neither easy nor difficult,Too long,No,"A business discipline (such as accounting, finance, marketing, etc.)",Django;Flask,,Just as welcome now as I felt last year,40.0,20,20
249,I am a developer by profession,Yes,23.0,21,Weekly,,United States,United States dollar,USD,,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,"Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;DevOps specialist;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Remote work options,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Go,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL,Node.js,Node.js,Jira;Github,Jira;Github,Yes,Extremely important,Somewhat important,Better compensation;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once every few years,No,No,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit;Research companies that have emailed me,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Meditate;Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later,Linux-based,10 to 19 employees,,AWS;Linux;MacOS;Windows,I have a great deal of influence,Straight / Heterosexual,Not sure/can't remember,"No, not really",,Daily or almost daily,Neither easy nor difficult,Too long,No,"A social science (such as anthropology, psychology, political science, etc.)",,Express;jQuery;Vue.js,Just as welcome now as I felt last year,,4,3
250,I am a developer by profession,Yes,23.0,10,Yearly,77500.0,United States,United States dollar,USD,Microsoft SQL Server,Microsoft SQL Server,"Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C;Python;Rust;TypeScript,Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;SQL,.NET;.NET Core;Node.js;React Native,.NET,Confluence;Jira;Github;Slack;Microsoft Teams;Stack Overflow for Teams,Confluence;Jira;Microsoft Teams,No,Extremely important,Critically important,Curious about other opportunities;Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Once a year,Yes,No,Yes,Never,,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Meditate;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Windows,"10,000 or more employees",AWS;Google Cloud Platform;Kubernetes;Microsoft Azure;Windows,AWS;Google Cloud Platform;Microsoft Azure,I have little or no influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;ASP.NET Core;React.js,Angular;ASP.NET;ASP.NET Core,A lot less welcome now than last year,40.0,13,4
251,I am a developer by profession,Yes,28.0,15,Yearly,60505.0,Canada,Canadian dollar,CAD,Cassandra;Firebase;MySQL,MongoDB;MySQL,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,,Man,Flex time or a flexible schedule;Remote work options;Office environment or company culture,Slightly satisfied,I am actively looking for a job,HTML/CSS;JavaScript;Rust;TypeScript,C#;HTML/CSS;JavaScript;PHP;SQL,Node.js;React Native;Unity 3D,Node.js,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",Yes,Neutral,Fairly important,Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Read other media like news articles, founder profiles, etc. about the company",Every few months,Yes,No,No,Sometimes: 1-2 days per month but less than weekly,,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,20 to 99 employees,AWS;Docker;Linux;Windows,Linux;Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",Daily or almost daily,Multiple times per day,Easy,Too long,No,"Computer science, computer engineering, or software engineering",Angular;Express;Gatsby;React.js,Angular.js;Express;jQuery;React.js,Just as welcome now as I felt last year,40.0,11,6
252,I am a developer by profession,Yes,27.0,12,Yearly,122780.0,United States,United States dollar,USD,,MySQL;PostgreSQL,"Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Woman,Diversity of the company or organization;Remote work options;Office environment or company culture,Very satisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript;R;Swift;TypeScript,C#;HTML/CSS;JavaScript;Objective-C;SQL;Swift;TypeScript,Cordova;Node.js;Unity 3D,Cordova;Node.js;Unity 3D,Gitlab,Jira;Gitlab;Microsoft Teams,No,Somewhat important,Fairly important,Curious about other opportunities;Wanting to work with new technologies;Growth or leadership opportunities,Personal network - friends or family,Every few months,No,Yes,Yes,Occasionally: 1-2 days per quarter but less than monthly,Ask developers I know/work with;Visit developer communities like Stack Overflow,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Do other work and come back later,MacOS,"1,000 to 4,999 employees",AWS;iOS,iOS,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per month or weekly,A few times per week,Easy,Appropriate in length,No,"Information systems, information technology, or system administration",Angular;Vue.js,Angular;Angular.js;jQuery,Just as welcome now as I felt last year,41.0,15,6
253,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,44.0,5,Yearly,450000.0,United States,United States dollar,USD,Cassandra;MariaDB;MongoDB;Redis,MariaDB,Senior executive/VP,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,Industry that I’d be working in;How widely used or impactful my work output would be;Office environment or company culture,Slightly dissatisfied,I am actively looking for a job,Java;Python;Rust,Java;Python,,,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Somewhat important,Better compensation;Trouble with leadership at my company;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once every few years,Not sure,Onboarding? What onboarding?,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Amused,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,MacOS,"1,000 to 4,999 employees",AWS;Docker;Kubernetes;Raspberry Pi,AWS;Docker;Kubernetes,I have a great deal of influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per month or weekly,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Spring,Gatsby;Spring,Just as welcome now as I felt last year,40.0,22,19
254,I am a developer by profession,Yes,27.0,18,Monthly,6588.0,Nigeria,Nigerian naira,NGN,Microsoft SQL Server;MongoDB;PostgreSQL;Redis,Microsoft SQL Server,"Developer, back-end;Developer, front-end;Developer, full-stack",Some college/university study without earning a degree,Employed full-time,Black or of African descent,Man,How widely used or impactful my work output would be;Office environment or company culture;Opportunities for professional development,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",C#;JavaScript;Python;TypeScript,C#;JavaScript;TypeScript,.NET Core;Node.js;TensorFlow;Xamarin,.NET;.NET Core,Jira;Github;Microsoft Teams;Microsoft Azure;Trello,Github,Yes,Extremely important,Somewhat important,Curious about other opportunities;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Every few months,No,Yes,No,Often: 1-2 days per week or more,,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Panic;Watch help / tutorial videos,Windows,20 to 99 employees,AWS;Docker;Heroku;Kubernetes;Microsoft Azure,,I have little or no influence,,Yes,"Yes, somewhat",A few times per week,Multiple times per day,Easy,Too long,No,"Computer science, computer engineering, or software engineering",ASP.NET Core;React.js,ASP.NET;ASP.NET Core,A lot more welcome now than last year,40.0,3,Less than 1 year
255,I am a developer by profession,Yes,32.0,13,Monthly,38784.0,Mexico,Mexican peso,MXN,DynamoDB;Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis,DynamoDB;Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis,"Developer, back-end;Developer, full-stack;Educator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Hispanic or Latino/a/x,Man,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C#;Go;Java;JavaScript;SQL,C#;HTML/CSS;Java;JavaScript;SQL,.NET Core;React Native;TensorFlow,.NET;.NET Core;Node.js,"Confluence;Jira;Github;Gitlab;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Gitlab;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Fairly important,Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Once a year,No,Onboarding? What onboarding?,Yes,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Visit another developer community (please name):,Linux-based,20 to 99 employees,AWS;Docker;Kubernetes;Linux;Microsoft Azure,AWS;Docker;Google Cloud Platform;Linux;Microsoft Azure;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per month or weekly,Multiple times per day,Easy,Too short,No,"Computer science, computer engineering, or software engineering",Angular.js;ASP.NET Core;React.js;Spring;Vue.js,Angular.js;ASP.NET Core;Spring;Vue.js,Just as welcome now as I felt last year,35.0,17,12
256,I am a developer by profession,Yes,29.0,12,Yearly,54049.0,Finland,European Euro,EUR,Elasticsearch;MariaDB;MySQL;SQLite,MariaDB;MySQL;SQLite,"Developer, back-end;Educator","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Java;PHP;SQL;Swift;TypeScript,C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL,.NET Core;Flutter;Hadoop;Node.js,Node.js,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams","Github;Slack;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Yes,Somewhat important,Fairly important,Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)",Once a year,Not sure,Yes,Yes,Occasionally: 1-2 days per quarter but less than monthly,Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow for Teams (private Q&A for organizations),Meditate;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later,Linux-based,20 to 99 employees,Docker;Google Cloud Platform;Linux;Slack Apps and Integrations,Android;Docker;Linux,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per week,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Symfony;Vue.js,Angular;jQuery;Spring;Symfony,Somewhat more welcome now than last year,37.0,12,7
257,I am a developer by profession,Yes,23.0,15,Yearly,82000.0,United States,United States dollar,USD,Firebase;PostgreSQL,Microsoft SQL Server,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Southeast Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",Slightly dissatisfied,I am not interested in new job opportunities,Rust;TypeScript,C#;JavaScript,Keras;React Native,.NET Core,Github;Slack,Github,Yes,Somewhat important,Somewhat important,Wanting to share accomplishments with a wider network;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Read other media like news articles, founder profiles, etc. about the company",Every few months,Yes,No,Yes,Never,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,"10,000 or more employees",iOS;Linux;Raspberry Pi,Linux;Windows,I have little or no influence,Straight / Heterosexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,A few times per week,Easy,Too short,No,"Computer science, computer engineering, or software engineering",Express;React.js,ASP.NET;ASP.NET Core;Drupal;React.js,Somewhat less welcome now than last year,38.0,6,2
258,I am a developer by profession,Yes,53.0,13,Monthly,518868.0,France,European Euro,EUR,DynamoDB;Microsoft SQL Server;MongoDB;SQLite,Microsoft SQL Server;MongoDB;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile;DevOps specialist;Engineering manager;Senior executive/VP","Other doctoral degree (Ph.D., Ed.D., etc.)","Independent contractor, freelancer, or self-employed",White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Assembly;C;C#;C++;Objective-C;Swift,C;C#;C++;Dart;HTML/CSS;JavaScript;SQL;TypeScript,Unity 3D;Unreal Engine,.NET;.NET Core;Flutter,Github;Microsoft Teams;Microsoft Azure,Github;Microsoft Teams;Microsoft Azure,No,Extremely important,Very important,Wanting to share accomplishments with a wider network;Curious about other opportunities;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once every few years,No,Onboarding? What onboarding?,No,Often: 1-2 days per week or more,Start a free trial;Visit developer communities like Stack Overflow,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow Talent (for hiring companies/recruiters),Meditate;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,"Just me - I am a freelancer, sole proprietor, etc.",Android;Arduino;AWS;iOS;MacOS;Microsoft Azure;Raspberry Pi;Windows,Android;Microsoft Azure;Windows,,Straight / Heterosexual,Yes,"Yes, definitely",Daily or almost daily,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Information systems, information technology, or system administration",ASP.NET;ASP.NET Core,ASP.NET;ASP.NET Core;jQuery,Just as welcome now as I felt last year,50.0,40,30
259,I am a developer by profession,Yes,51.0,14,,,United States,United States dollar,USD,MongoDB,Microsoft SQL Server,"Database administrator;Developer, back-end",Some college/university study without earning a degree,Employed full-time,White or of European descent,Man,,Very satisfied,I am not interested in new job opportunities,C++;Python,C#;Java;JavaScript;SQL,Unity 3D,.NET;.NET Core,,Jira;Github;Microsoft Teams;Microsoft Azure,Yes,Extremely important,Not at all important/not necessary,,,Once a year,No,Yes,No,Sometimes: 1-2 days per month but less than weekly,,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow,Windows,"1,000 to 4,999 employees",iOS,Microsoft Azure;Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",Daily or almost daily,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",React.js,Angular.js;ASP.NET;ASP.NET Core,Just as welcome now as I felt last year,45.0,36,30
260,I am a developer by profession,Yes,62.0,18,Yearly,112000.0,United States,United States dollar,USD,Microsoft SQL Server;MySQL,Microsoft SQL Server,"Designer;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, game or graphics;Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Remote work options;Office environment or company culture,Very satisfied,"I’m not actively looking, but I am open to new opportunities",C;C#;C++;JavaScript;Kotlin;Python;R;Ruby;SQL,C;C#;C++;JavaScript;Python;SQL,.NET;Hadoop;Node.js;Unity 3D,.NET;Unity 3D,"Jira;Github;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams","Jira;Github;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)",No,Neutral,Very important,Better compensation;Trouble with leadership at my company;Wanting to work with new technologies;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family",Once every few years,Yes,No,No,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,2 to 9 employees,Android;Arduino;Microsoft Azure;Raspberry Pi;Windows,Arduino;Raspberry Pi;Windows,I have some influence,Straight / Heterosexual,Not sure/can't remember,Neutral,,Multiple times per day,Easy,Appropriate in length,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",ASP.NET;jQuery;Ruby on Rails,ASP.NET;jQuery,Just as welcome now as I felt last year,50.0,42,38
261,"I used to be a developer by profession, but no longer am",Yes,30.0,13,,,Netherlands,United States dollar,,,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Not employed, and not looking for work",White or of European descent,Man,,,,Assembly;C#;Rust,Assembly;C;C#;C++;Haskell;Java,.NET;.NET Core,.NET;.NET Core,Github,Github,,,Somewhat important,,,Once every few years,Yes,,Yes,,Ask developers I know/work with,Amused,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,,Windows,Windows,,Straight / Heterosexual,Yes,Neutral,A few times per month or weekly,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,,Just as welcome now as I felt last year,,16,
262,I am a developer by profession,Yes,37.0,10,Yearly,171000.0,United States,United States dollar,USD,DynamoDB;PostgreSQL;Redis;SQLite,PostgreSQL;SQLite,"Data or business analyst;Data scientist or machine learning specialist;Developer, back-end;Engineer, data;Engineering manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,Remote work options;Office environment or company culture;Family friendliness,Very satisfied,I am not interested in new job opportunities,Bash/Shell/PowerShell;Go;JavaScript;Python;SQL,Bash/Shell/PowerShell;Haskell;HTML/CSS;JavaScript;Python;SQL,Keras;Pandas;TensorFlow,Pandas,Github;Slack,Github;Slack,No,Extremely important,Not at all important/not necessary,Curious about other opportunities;Better compensation;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once every few years,Not sure,Onboarding? What onboarding?,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Linux-based,10 to 19 employees,Arduino;AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS;Raspberry Pi,Docker;Google Cloud Platform;Kubernetes;Linux;MacOS,I have a great deal of influence,Straight / Heterosexual,Yes,Neutral,A few times per month or weekly,Daily or almost daily,Easy,Too short,No,"A social science (such as anthropology, psychology, political science, etc.)",Django;React.js;Vue.js,Django,Just as welcome now as I felt last year,45.0,10,10
263,I am a developer by profession,Yes,32.0,13,Monthly,,Poland,Polish zloty,PLN,,Microsoft SQL Server;Oracle,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Slightly satisfied,I am not interested in new job opportunities,C#;HTML/CSS;JavaScript;Python;Rust;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,.NET Core;Ansible;Node.js;Unity 3D,.NET Core;Ansible;Node.js,Microsoft Teams;Microsoft Azure;Trello;Stack Overflow for Teams,Confluence;Jira;Microsoft Teams;Microsoft Azure;Stack Overflow for Teams,Yes,Somewhat important,Very important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,No,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Overflow for Teams (private Q&A for organizations),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Windows,"10,000 or more employees",Microsoft Azure;Raspberry Pi;Windows,Microsoft Azure;Windows,I have little or no influence,Straight / Heterosexual,Yes,Neutral,A few times per month or weekly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET Core;React.js;Vue.js,Angular;ASP.NET;ASP.NET Core;jQuery;Vue.js,Just as welcome now as I felt last year,40.0,19,7
264,I am a developer by profession,No,33.0,14,Yearly,75000.0,United States,United States dollar,USD,Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack;DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Specific department or team I’d be working on;Office environment or company culture;Opportunities for professional development,Very satisfied,"I’m not actively looking, but I am open to new opportunities",C#;HTML/CSS;JavaScript;PHP;TypeScript,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript;VBA,.NET;.NET Core;Node.js;React Native,.NET;.NET Core,Github;Microsoft Teams;Microsoft Azure,Github;Microsoft Azure,No,Extremely important,Very important,Curious about other opportunities;Better compensation;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once a year,No,No,No,Occasionally: 1-2 days per quarter but less than monthly,,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,100 to 499 employees,Microsoft Azure;WordPress,Microsoft Azure;WordPress,I have some influence,Straight / Heterosexual,Yes,"No, not really",A few times per week,Multiple times per day,Easy,Appropriate in length,No,Web development or web design,Angular;Angular.js;ASP.NET;ASP.NET Core;jQuery;React.js,ASP.NET;ASP.NET Core;jQuery,Just as welcome now as I felt last year,37.0,19,8
